epoch,accuracy,loss,val_accuracy,val_loss
0,0.9290137887001038,0.17976103723049164,0.9585129022598267,0.0985763818025589
1,0.9490825533866882,0.12853118777275085,0.9628232717514038,0.0896005854010582
2,0.953096330165863,0.11614502966403961,0.9628232717514038,0.09059495478868484
3,0.95699542760849,0.10806175321340561,0.9612069129943848,0.10413473099470139
4,0.9549311995506287,0.10573872923851013,0.9606680870056152,0.08933816105127335
5,0.9589449763298035,0.10147343575954437,0.9649784564971924,0.0818316638469696
6,0.9616972208023071,0.09705240279436111,0.962284505367279,0.0867157056927681
7,0.9614678621292114,0.09811346977949142,0.9649784564971924,0.08509126305580139
8,0.9607798457145691,0.09886644780635834,0.9585129022598267,0.09110743552446365
9,0.9608945250511169,0.09928730875253677,0.9639008641242981,0.09004504233598709
0,0.9438073635101318,0.14464733004570007,0.9498922228813171,0.28538450598716736
1,0.9608945250511169,0.09981821477413177,0.9558189511299133,0.11899486184120178
2,0.9683486223220825,0.08297720551490784,0.9639008641242981,0.13098832964897156
3,0.9788990616798401,0.06273343414068222,0.9337284564971924,0.23920901119709015
4,0.9801605343818665,0.055437080562114716,0.9579741358757019,0.19573773443698883
5,0.9784403443336487,0.05681625381112099,0.9606680870056152,0.15040430426597595
6,0.9831421971321106,0.047028519213199615,0.9709051847457886,0.0860370323061943
7,0.9852064251899719,0.039285290986299515,0.9434267282485962,0.20274490118026733
8,0.9862385392189026,0.03736499696969986,0.9563577771186829,0.160690039396286
9,0.9854357838630676,0.03699810057878494,0.9725215435028076,0.11301442980766296
0,0.9872706532478333,0.03459570184350014,0.9709051847457886,0.09423207491636276
1,0.9902523159980774,0.029569486156105995,0.9768319129943848,0.07327180355787277
2,0.9939219951629639,0.01647179014980793,0.9784482717514038,0.07252615690231323
3,0.9947247505187988,0.016208933666348457,0.9768319129943848,0.0701095312833786
4,0.9942660331726074,0.01803705282509327,0.9784482717514038,0.06748805940151215
5,0.9957568645477295,0.013315821997821331,0.9768319129943848,0.06670405715703964
6,0.9952981472015381,0.015083223581314087,0.9741379022598267,0.06722397357225418
7,0.9963302612304688,0.012670518830418587,0.9698275923728943,0.08159904181957245
8,0.9954128265380859,0.01359203364700079,0.9735991358757019,0.07684332132339478
9,0.9959862232208252,0.013071505352854729,0.970366358757019,0.08051472157239914
